DESARROLLADORA,PROYECTO,N INMUEBLE,MODELO,AREA TOTAL,QUE FALTA
IMAGINA,CONCEPTO OCEAN BREATH,101,DPTO 101,97.02,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1605,DPTO 205 AL 2105,61.16,dormitorios
GRUPO T&C,COSTANOVA,1119,TIPO 19 (219-2219),2026-08-23 00:00:00,area
GRUPO T&C,COSTANOVA,2101,TIPO 1 (201-2201),2026-12-27 00:00:00,area
GRUPO MG,LUMA - A,604,X04,55.79,dormitorios
GRUPO MG,LUMA - A,209,X09,51.07,dormitorios
GRUPO MG,LUMA - A,316,X16,50.96,dormitorios
CÁDIZ INMOBILIARIA,VIGO,503,X03,2026-05-30 00:00:00,area
IMAGINA,CONCEPTO OCEAN BREATH,1909,DPTO 309 AL 2109,78.07,dormitorios
GRUPO MG,ALBORADA I - A,105,X05,97,dormitorios
GRUPO MG,LUMA - A,415,X15,51.38,dormitorios
GRUPO T&C,COSTANOVA,601,TIPO 1 (201-2201),2026-12-27 00:00:00,area
GRUPO T&C,COSTANOVA,501,TIPO 1 (201-2201),2026-12-27 00:00:00,area
GRUPO MG,MAR DE PLATA II,907,X07,66.2,dormitorios
ALBAMAR,MATCH,1203,B,69.79,dormitorios
GRUPO MG,MAR DE PLATA II,1706,X06,67.2,dormitorios
GRUPO T&C,COSTANOVA,319,TIPO 19 (219-2219),2026-08-23 00:00:00,area
GRUPO MG,MAR DE PLATA II,1904,X04,67.2,dormitorios
GRUPO MG,LUMA - A,109,X09,49.55,dormitorios
GRUPO MG,LUMA - A,412,X12,50.81,dormitorios
GRUPO MG,LUMA - A,114,X14,55.75,dormitorios
GRUPO MG,LUMA - A,108,X08,50.35,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,2101,DPTO 201 AL 2101,65.53,dormitorios
GRUPO MG,LUMA - A,307,X07,63.04,dormitorios
GRUPO MG,LUMA - A,305,X05,55.66,dormitorios
GRUPO MG,LUMA - A,414,X14,52.46,dormitorios
GRUPO MG,LUMA - A,210,X10,51.03,dormitorios
GRUPO MG,LUMA - A,212,X12,51.9,dormitorios
GRUPO MG,LUMA - A,211,X11,50.81,dormitorios
GRUPO MG,LUMA - A,413,X13,51.9,dormitorios
GRUPO MG,LUMA - A,106,X06,50.6,dormitorios
GRUPO MG,LUMA - A,315,X15,51.38,dormitorios
GRUPO MG,LUMA - A,310,X10,51.07,dormitorios
GRUPO MG,LUMA - A,313,X13,51.9,dormitorios
GRUPO MG,LUMA - A,311,X11,51.03,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,2102,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,2009,DPTO 309 AL 2109,78.07,dormitorios
GRUPO MG,LUMA - A,410,X10,51.07,dormitorios
GRUPO MG,LUMA - A,411,X11,51.03,dormitorios
GRUPO MG,LUMA - A,314,X14,52.46,dormitorios
GRUPO MG,ALBORADA I - A,402,X02,76.6,dormitorios
GRUPO MG,ALBORADA II,1615,X15,94.6,dormitorios
GRUPO MG,ALBORADA II,1610,X10,90,dormitorios
GRUPO T&C,COSTANOVA,1419,TIPO 19 (219-2219),2026-08-23 00:00:00,area
CÁDIZ INMOBILIARIA,VIGO,303,X03,2026-05-30 00:00:00,area
GRUPO MG,MAR DE PLATA II,1308,X08,67.5,dormitorios
URBANA,ALLEGRO,1001,,62.49,vista
GRUPO T&C,COSTANOVA,1219,TIPO 19 (219-2219),2026-08-23 00:00:00,area
GRUPO T&C,COSTANOVA,1201,TIPO 1 (201-2201),2026-12-27 00:00:00,area
GRUPO MG,LUMA - A,515,X15,51.38,dormitorios
ALBAMAR,MATCH,803,B,69.79,dormitorios
GRUPO MG,LUMA - A,905,X05,55.66,dormitorios
ALBAMAR,MATCH,603,B,69.79,dormitorios
GRUPO T&C,COSTANOVA,419,TIPO 19 (219-2219),2026-08-23 00:00:00,area
GRUPO MG,LUMA - A,805,X05,55.66,dormitorios
GRUPO MG,LUMA - A,804,X04,55.79,dormitorios
GRUPO MG,LUMA - A,513,X13,51.9,dormitorios
GDC,PARK SAN MIGUEL,702,X07,108.1,vista
GRUPO T&C,BERTOLOTTO 3,1705,TIPO 16,106.13,dormitorios
GRUPO T&C,BERTOLOTTO 3,1704,TIPO 15,177.39,dormitorios
CÁDIZ INMOBILIARIA,VIGO,504,X04,2026-05-30 00:00:00,area
ALBAMAR,MATCH,2003,B,69.42,dormitorios
CÁDIZ INMOBILIARIA,VIGO,1104,X04,2026-05-30 00:00:00,area
CÁDIZ INMOBILIARIA,VIGO,304,X04,2026-05-30 00:00:00,area
GRUPO MG,LUMA - A,705,X05,55.66,dormitorios
GRUPO T&C,COSTANOVA,109,TIPO 18A (109),2026-04-30 00:00:00,area
GRUPO MG,LUMA - A,806,X06,53.05,dormitorios
GRUPO MG,LUMA - A,904,X04,55.79,dormitorios
GRUPO MG,ALBORADA I - A,104,X04,75.5,dormitorios
GRUPO MG,LUMA - A,714,X14,52.46,dormitorios
GRUPO MG,LUMA - A,516,X16,50.96,dormitorios
GRUPO MG,MAR DE PLATA II,1606,X06,67.2,dormitorios
GRUPO MG,LUMA - A,512,X12,50.81,dormitorios
GRUPO MG,LUMA - A,906,X06,53.05,dormitorios
CÁDIZ INMOBILIARIA,VIGO,704,X04,2026-05-30 00:00:00,area
GRUPO MG,LUMA - A,706,X06,53.05,dormitorios
GRUPO T&C,COSTANOVA,1301,TIPO 1 (201-2201),2026-12-27 00:00:00,area
IMAGINA,CONCEPTO OCEAN BREATH,1606,DPTO 206 AL 2106,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,102,DPTO 102,85.88,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,104,DPTO 104,85.33,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,302,DPTO 202 AL 2102,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,309,DPTO 309 AL 2109,78.07,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1505,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,605,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,706,DPTO 206 AL 2106,65.53,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,805,DPTO 205 AL 2105,61.16,dormitorios
IMAGINA,CONCEPTO OCEAN BREATH,1001,DPTO 201 AL 2101,65.53,dormitorios
CÁDIZ INMOBILIARIA,VIGO,904,X04,2026-05-30 00:00:00,area
URBANA,ALLEGRO,1007,,77.2,vista
GRUPO SANTA MARÍA,THE GRAND,702,TIPO 2,151.53,dormitorios
GRUPO SANTA MARÍA,THE GRAND,401,TIPO 1,151.04,dormitorios
GRUPO SANTA MARÍA,THE GRAND,1404,TIPO 4B,228.67,dormitorios
GRUPO T&C,TREE,808,TIPO 8 408 AL 2008,81.58,dormitorios
GRUPO T&C,TREE,705,TIPO 5 405 AL 3305,47.16,dormitorios
GRUPO T&C,TREE,805,TIPO 5 405 AL 3305,47.16,dormitorios
CANTABRIA,LUUP,501,TIPO 1,69.41,dormitorios
CANTABRIA,LUUP,601,TIPO 1,69.41,dormitorios
CANTABRIA,LUUP,607,TIPO 9,70.61,dormitorios
CANTABRIA,LUUP,1201,TIPO 1,68.97,dormitorios
CANTABRIA,LUUP,1101,TIPO 1,68.97,dormitorios
CANTABRIA,LUUP,1301,TIPO 1,68.97,dormitorios
CANTABRIA,LUUP,1501,TIPO 1,68.97,dormitorios
CANTABRIA,LUUP,1206,TIPO 10,71.4,dormitorios
CANTABRIA,LUUP,1805,TIPO 12,70.56,dormitorios
CANTABRIA,LUUP,307,TIPO 7,70.98,dormitorios
CANTABRIA,LUUP,406,TIPO 6,68.18,dormitorios
CANTABRIA,LUUP,506,TIPO 6,68.18,dormitorios
CANTABRIA,LUUP,1901,TIPO 1,68.59,dormitorios
CANTABRIA,LUUP,807,TIPO 9,63.65,dormitorios
CANTABRIA,LUUP,907,TIPO 9,63.65,dormitorios
CANTABRIA,LUUP,906,TIPO 8,61.67,dormitorios
CANTABRIA,LUUP,2101,TIPO 1,68.46,dormitorios
GRUPO T&C,TREE,505,TIPO 5 405 AL 3305,47.16,dormitorios
CANTABRIA,LUUP,1807,TIPO 14,2026-11-25 00:00:00,area
GRUPO SANTA MARÍA,THE GRAND,2202,TIPO 2202,309.97,dormitorios
